TIME,AEP,APPL,COST,CVX,DG,HD,LLY,IBM,EMN,ESS,KO,MSFT,MCD,NVDA,NKE,SPG,RE,WMT,VZN,XOM
02/08/2013,44.57,67.8542,102.79,115.64,46,67.01,53.72,201.68,73.31,151.86,38.77,27.55,94.87,12.37,27.295,162.76,119.24,71.48,44.35,88.61
02/11/2013,44.73,68.5614,101.99,115.64,45.75,66.38,53.9,200.16,74.13,151.86,38.61,27.86,95.17,12.51,27.61,163.5,120.31,71.4,44.32,88.28
02/12/2013,44.9,66.8428,101.76,116.5,45.04,67.32,53.8,200.04,73.93,152.65,37.56,27.88,95.1,12.43,27.545,162.97,121.29,71.4,44.44,88.46
02/13/2013,44.93,66.7156,101.63,115.53,44.39,67.45,53.44,200.09,74.78,152.85,37.21,28.03,94,12.37,27.28,162.05,120.78,71.39,44.52,88.67
02/14/2013,44.77,66.6556,102.02,115.71,45.03,67.34,53.5,199.65,74.08,152.49,36.84,28.04,93.56,12.73,27.31,160.57,120.45,70.82,44.33,88.52
02/15/2013,45.13,65.7371,102.17,114.96,44.37,67.52,53.59,200.98,73.46,151.69,37.42,28.01,93.9,12.731,27.475,159.9,121.05,69.3,44.4,88.36
02/19/2013,45.56,65.7128,101.9,115.92,43.96,67.55,54.18,200.32,73.43,153.65,37.67,28.045,93.85,12.555,27.235,160.5,122.76,68.76,44.5,89.32
02/20/2013,45.57,64.1214,101.08,114.99,43.8,66.44,54.29,199.31,70.22,152.41,37.73,27.87,93.91,12.38,27.01,159.52,122.38,69.21,44.92,88.97
02/21/2013,45.36,63.7228,100.69,114.99,45.51,64.38,54.02,198.33,68.72,151.26,37.71,27.49,94.14,12.29,27.27,158.02,124.51,70.26,45.12,88.59
02/22/2013,46.18,64.4014,101.16,115.96,46.03,65.58,54.27,201.09,71.69,151.48,38.52,27.76,95.25,12.52,27.235,159.72,123.94,70.4,45.4,89.2
02/25/2013,45.68,63.2571,100.09,113.54,45.45,63.92,53.77,197.51,68,149.44,37.72,27.37,96.14,12.3,27.02,157.37,122.55,70.44,45.72,87.7
02/26/2013,46.33,64.1385,99.45,114.96,44.95,67.56,54.43,199.14,68.57,149.85,38.11,27.37,96.22,12.37,27.135,157.88,124.14,71.11,46.12,88.51
02/27/2013,46.66,63.5099,100.73,116.65,46.56,68.06,54.8,202.33,70.79,149.74,38.45,27.81,95.73,12.6,27.17,159.2,124.99,71.66,46.35,89.53
02/28/2013,46.79,63.0571,101.29,117.15,46.34,68.5,54.66,200.83,69.73,148.99,38.72,27.8,95.9,12.66,27.23,158.86,124.61,70.78,46.53,89.55
